day,wildtype_prop,ferret_type,ferret,tcid50,pcr,pyro
1,1,donor,1,1.1666666666666665,5.821924947880473,0
1,1,donor,2,0.8333333333333333,4.994371091035442,0
1,1,donor,3,0.5,4.786692147324532,0
1,1,donor,4,2.5,5.664037526059764,0
1,1,recipient,1,NA,NA,NA
1,1,recipient,2,NA,NA,NA
1,1,recipient,3,NA,NA,NA
1,1,recipient,4,NA,NA,NA
1,0,donor,1,1.1666666666666665,4.9889159138290475,1
1,0,donor,2,0.5,4.086483669214734,NA
1,0,donor,3,0.8333333333333333,3.04784572619875,NA
1,0,donor,4,1.1666666666666665,4.337143849895762,NA
1,0,recipient,1,NA,NA,NA
1,0,recipient,2,NA,NA,NA
1,0,recipient,3,NA,NA,NA
1,0,recipient,4,NA,NA,NA
1,0.5,donor,1,0.5,3.299012954966069,NA
1,0.5,donor,2,0.5,2.955336212214681,NA
1,0.5,donor,3,0.5,1.4528994447871673,NA
1,0.5,donor,4,0.5,3.4480259099321393,NA
1,0.5,recipient,1,NA,NA,NA
1,0.5,recipient,2,NA,NA,NA
1,0.5,recipient,3,NA,NA,NA
1,0.5,recipient,4,NA,NA,NA
1,0.8,donor,1,0.5,3.493090684762491,NA
1,0.8,donor,2,0.5,2.275323874151757,NA
1,0.8,recipient,1,NA,NA,NA
1,0.8,recipient,2,NA,NA,NA
1,0.2,donor,1,0.5,2.0916409623689067,NA
1,0.2,donor,2,0.5,1.3809993830968526,NA
1,0.2,recipient,1,NA,NA,NA
1,0.2,recipient,2,NA,NA,NA
2,1,donor,1,3.5,6.5226198749131346,0
2,1,donor,2,3.5,6.150243224461432,0
2,1,donor,3,6.166666666666666,8.25135510771369,0
2,1,donor,4,4.5,7.112682418346074,0
2,1,recipient,1,0.5,3.220291869353718,NA
2,1,recipient,2,0.5,1.45066018068103,NA
2,1,recipient,3,0.8333333333333333,1.9383669214732455,NA
2,1,recipient,4,0.8333333333333333,2.9092425295343993,NA
2,0,donor,1,4.5,6.478735232800556,1
2,0,donor,2,4.5,7.378662265462126,1
2,0,donor,3,2.5,6.075851285615012,1
2,0,donor,4,2.5,6.149409312022238,1
2,0,recipient,1,0.5,0.4567755385684498,0
2,0,recipient,2,0.5,0.4792564280750523,0
2,0,recipient,3,0.5,0,0
2,0,recipient,4,0.5,1.3825225851285625,0
2,0.5,donor,1,4.5,6.9028685996298575,0.163
2,0.5,donor,2,3.833333333333333,6.598396051819863,0.237
2,0.5,donor,3,3.833333333333333,5.758852560148056,0.523
2,0.5,donor,4,3.5,5.860641579272053,0.155
2,0.5,recipient,1,0.5,3.1258790869833426,NA
2,0.5,recipient,2,0.5,4.720820481184453,NA
2,0.5,recipient,3,0.5,2.103331276989511,NA
2,0.5,recipient,4,0.5,0,NA
2,0.8,donor,1,5.833333333333333,8.39713140037014,0.037000000000000005
2,0.8,donor,2,2.6666666666666665,6.04907464528069,0
2,0.8,recipient,1,0.5,4.397347316471313,NA
2,0.8,recipient,2,0.5,3.463201727328808,NA
2,0.2,donor,1,3.1666666666666665,5.949228871067242,0.655
2,0.2,donor,2,4.833333333333333,6.794447871684144,0.392
2,0.2,recipient,1,0.5,1.6143738433065993,NA
2,0.2,recipient,2,0.5,1.9828192473781616,NA
3,1,donor,1,3.833333333333333,6.3912786657400975,0
3,1,donor,2,2.5,6.173731758165393,0
3,1,donor,3,4.5,7.193745656706046,0
3,1,donor,4,4.166666666666666,6.546907574704656,0
3,1,recipient,1,0.5,3.6580958999305078,NA
3,1,recipient,2,2.5,4.4283877692842255,NA
3,1,recipient,3,0.5,2.3552814454482283,NA
3,1,recipient,4,2.5,4.296560111188326,NA
3,0,donor,1,3.5,6.502293259207784,1
3,0,donor,2,4.833333333333333,7.121195274496178,1
3,0,donor,3,4.5,7.176824183460737,1
3,0,donor,4,2.5,6.142911744266852,1
3,0,recipient,1,0.5,1.2663655316191813,0
3,0,recipient,2,0.5,2.316504517025713,0
3,0,recipient,3,0.5,2.0626129256428083,0
3,0,recipient,4,0.5,1.6414176511466307,0
3,0.5,donor,1,3.833333333333333,6.524768661320172,0.114
3,0.5,donor,2,3.5,7.014929056138185,0.195
3,0.5,donor,3,3.833333333333333,8.277884022208513,0.355
3,0.5,donor,4,2.5,6.356878470080197,0.267
3,0.5,recipient,1,0.5,3.3660703269586665,NA
3,0.5,recipient,2,0.5,3.1136644046884627,NA
3,0.5,recipient,3,0.5,3.623473164713139,NA
3,0.5,recipient,4,0.5,3.1926280074028366,NA
3,0.8,donor,1,4.5,6.900616903146205,0
3,0.8,donor,2,2.833333333333333,6.394077729796421,0
3,0.8,recipient,1,0.5,4.037631091918568,NA
3,0.8,recipient,2,0.5,4.123226403454656,NA
3,0.2,donor,1,1.1666666666666665,6.671838371375692,0.7190000000000001
3,0.2,donor,2,2.833333333333333,7.342381246144355,0.48100000000000004
3,0.2,recipient,1,0.5,3.079549660703269,NA
3,0.2,recipient,2,0.5,2.5168414558914245,NA
4,1,donor,1,3.5,6.449374565670605,0
4,1,donor,2,0.5,5.478353022932592,0
4,1,donor,3,3.5,6.601945795691453,0
4,1,donor,4,4.166666666666666,6.37470465601112,0
4,1,recipient,1,3.1666666666666665,5.622967338429465,0
4,1,recipient,2,4.833333333333333,6.86421125781793,0
4,1,recipient,3,2.5,5.4230715774843645,0
4,1,recipient,4,4.5,6.822446143154969,0
4,0,donor,1,3.5,5.536970118137596,1
4,0,donor,2,3.5,6.116782487838778,1
4,0,donor,3,4.166666666666666,5.79593467685893,1
4,0,donor,4,1.3333333333333333,5.074391938846421,1
4,0,recipient,1,0.5,1.547915218902016,0
4,0,recipient,2,0.5,1.4566365531619179,0
4,0,recipient,3,0.5,2.964628214037527,0
4,0,recipient,4,0.5,0.7828353022932593,0
4,0.5,donor,1,3.833333333333333,6.253732264034546,0.158
4,0.5,donor,2,4.5,6.808945095619987,0.235
4,0.5,donor,3,4.5,6.257464528069092,0.469
4,0.5,donor,4,4.166666666666666,6.249321406539172,0.32899999999999996
4,0.5,recipient,1,0.5,3.2187847008019737,NA
4,0.5,recipient,2,0.5,4.904133251079579,0.09
4,0.5,recipient,3,0.5,3.0912091301665625,NA
4,0.5,recipient,4,0.5,3.0274521900061684,NA
4,0.8,donor,1,4.166666666666666,5.969679210363972,0
4,0.8,donor,2,2.833333333333333,5.3942936458975925,0
4,0.8,recipient,1,0.5,3.117180752621838,NA
4,0.8,recipient,2,0.5,3.838926588525601,NA
4,0.2,donor,1,3.833333333333333,5.091455891425045,0.611
4,0.2,donor,2,5.166666666666666,6.344170265268352,0.511
4,0.2,recipient,1,0.5,3.9066625539790247,NA
4,0.2,recipient,2,0.5,2.581431215299198,NA
5,1,donor,1,3.5,6.798471160528145,0
5,1,donor,2,1.1666666666666665,5.185788742182071,0
5,1,donor,3,2.6666666666666665,6.6453439888811685,0
5,1,donor,4,1.1666666666666665,6.238776928422516,0
5,1,recipient,1,6.5,7.863446838082001,0.039000000000000055
5,1,recipient,2,3.5,5.820569840166783,0
5,1,recipient,3,3.5,5.575364836692148,0.04799999999999997
5,1,recipient,4,4.833333333333333,6.821507991660876,0.04900000000000006
5,0,donor,1,0.8333333333333333,4.898714384989576,1
5,0,donor,2,1.6666666666666665,6.698957609451008,1
5,0,donor,3,1.5,5.886031966643503,1
5,0,donor,4,0.5,5.087421820708825,1
5,0,recipient,1,0.5,1.9036831132731062,0
5,0,recipient,2,0.5,2.2911049339819325,0
5,0,recipient,3,0.5,NA,0
5,0,recipient,4,0.5,0.9204656011118847,0
5,0.5,donor,1,2.833333333333333,6.037569401603948,0.301
5,0.5,donor,2,3.5,6.288186304750154,0.23600000000000002
5,0.5,donor,3,2.833333333333333,6.2572486119679205,0.49200000000000005
5,0.5,donor,4,2.5,5.3864898210980865,0.45399999999999996
5,0.5,recipient,1,0.5,3.9056755089450954,NA
5,0.5,recipient,2,4.833333333333333,6.668044417026525,0.046
5,0.5,recipient,3,2.833333333333333,5.572023442319554,0.10800000000000001
5,0.5,recipient,4,0.5,3.4939235040098695,NA
5,0.8,donor,1,0.8333333333333333,5.822763726095002,0
5,0.8,donor,2,0.5,4.881091918568783,0.028999999999999998
5,0.8,recipient,1,3.1666666666666665,5.278716841455891,0.182
5,0.8,recipient,2,3.5,6.559561998766193,0.054000000000000006
5,0.2,donor,1,3.1666666666666665,5.331801357186921,0.631
5,0.2,donor,2,3.1666666666666665,6.2512338062924115,0.418
5,0.2,recipient,1,3.1666666666666665,5.6970080197409,0.48
5,0.2,recipient,2,2.5,5.8583898827884004,0.5379999999999999
6,1,donor,1,0.5,6.098019457956914,0
6,1,donor,2,0.8333333333333333,6.136935371785963,0
6,1,donor,3,1.1666666666666665,6.811813759555247,0.065
6,1,donor,4,1.1666666666666665,6.306393328700487,0.055
6,1,recipient,1,3.833333333333333,6.824704656011119,0.06099999999999994
6,1,recipient,2,2.5,5.190410006949271,0.07099999999999994
6,1,recipient,3,6.166666666666666,7.6909312022237675,0.065
6,1,recipient,4,1.5,5.939819318971509,0
6,0,donor,1,0.8333333333333333,5.173662265462126,1
6,0,donor,2,2.5,6.2512161223071585,0.968
6,0,donor,3,0.8333333333333333,5.715740097289785,1
6,0,donor,4,0.5,5.329812369701182,1
6,0,recipient,1,2.5,4.505733148019458,1
6,0,recipient,2,0.5,2.15823488533704,0
6,0,recipient,3,0.5,2.408373870743572,NA
6,0,recipient,4,0.5,0.9535788742182066,0
6,0.5,donor,1,0.5,5.268167797655767,0.475
6,0.5,donor,2,0.5,5.336366440468845,0.364
6,0.5,donor,3,0.5,4.889327575570635,0.442
6,0.5,donor,4,1.1666666666666665,4.960425663170882,0.48200000000000004
6,0.5,recipient,1,4.5,6.692504626773595,0.040999999999999995
6,0.5,recipient,2,4.5,6.604349167180752,0.05
6,0.5,recipient,3,4.166666666666666,6.2067550894509544,0.055999999999999994
6,0.5,recipient,4,3.1666666666666665,5.694571252313386,1
6,0.8,donor,1,3.1666666666666665,6.226958667489203,0.042
6,0.8,donor,2,1.1666666666666665,4.741455891425045,0.047
6,0.8,recipient,1,2.833333333333333,5.9309068476249225,0.027000000000000003
6,0.8,recipient,2,2.5,5.490252930289944,0.025
6,0.2,donor,1,1.8333333333333333,5.845342381246144,0.653
6,0.2,donor,2,2.5,5.977760641579271,0.401
6,0.2,recipient,1,3.5,6.261690314620603,0.494
6,0.2,recipient,2,4.5,6.575015422578654,0.301
7,1,donor,1,0.8333333333333333,5.935962473940236,0
7,1,donor,2,1.1666666666666665,5.95225851285615,0.035
7,1,donor,3,2,7.296525364836692,0.045999999999999944
7,1,donor,4,1.1666666666666665,6.3978804725503835,0
7,1,recipient,1,4.5,7.056671299513551,0.035
7,1,recipient,2,4.166666666666666,6.739471855455177,0.05799999999999997
7,1,recipient,3,4.833333333333333,6.674461431549688,0.05099999999999994
7,1,recipient,4,4.166666666666666,6.681827658095901,0.09299999999999997
7,0,donor,1,0.5,4.1287352328005555,0.976
7,0,donor,2,2.5,6.838082001389855,1
7,0,donor,3,0.8333333333333333,5.189298123697013,1
7,0,donor,4,0.5,6.087977762334955,1
7,0,recipient,1,4.166666666666666,6.567859624739402,1
7,0,recipient,2,0.5,1.555802640722725,0
7,0,recipient,3,2.5,4.622585128561502,1
7,0,recipient,4,0.5,2.473106323835998,0
7,0.5,donor,1,0.5,3.8821406539173333,NA
7,0.5,donor,2,0.5,4.280876002467611,NA
7,0.5,donor,3,0.5,3.763140037014187,NA
7,0.5,donor,4,0.5,4.957618753855644,0.37799999999999995
7,0.5,recipient,1,2.5,5.512615669339913,0.02
7,0.5,recipient,2,2.833333333333333,6.592288710672423,0.06
7,0.5,recipient,3,2.833333333333333,6.340499691548426,0.17800000000000002
7,0.5,recipient,4,3.5,6.294478716841455,1
7,0.8,donor,1,0.5,3.36440468846391,NA
7,0.8,donor,2,0.5,4.070141887723626,NA
7,0.8,recipient,1,2.5,5.032418260333127,0
7,0.8,recipient,2,2.833333333333333,5.811443553362122,0
7,0.2,donor,1,0.5,3.814034546576187,NA
7,0.2,donor,2,0.5,4.976711906230721,0.52
7,0.2,recipient,1,2.5,5.055706354102405,0.45399999999999996
7,0.2,recipient,2,3.5,6.813170882171498,0.401
8,1,donor,1,0.5,5.432870048644893,0
8,1,donor,2,0.5,5.056289089645588,0.04400000000000006
8,1,donor,3,1.1666666666666665,6.787213342599028,0.04299999999999997
8,1,donor,4,1.5,6.504690757470466,0
8,1,recipient,1,3.833333333333333,6.585406532314108,0
8,1,recipient,2,4.833333333333333,6.206045865184156,0.039000000000000055
8,1,recipient,3,3.833333333333333,6.547533009034051,0
8,1,recipient,4,0.8333333333333333,5.195205003474635,0
8,0,donor,1,0.5,3.6664697706740803,NA
8,0,donor,2,1.1666666666666665,5.705281445448229,1
8,0,donor,3,0.5,6.43915913829048,NA
8,0,donor,4,0.5,5.203578874218208,1
8,0,recipient,1,4.5,6.931688672689368,1
8,0,recipient,2,0.5,2.9085476025017383,0
8,0,recipient,3,5.166666666666666,7.096907574704656,1
8,0,recipient,4,0.5,1.3700833912439196,0
8,0.5,donor,1,0.5,2.2833127698951254,NA
8,0.5,donor,2,0.5,2.6518815545959287,NA
8,0.5,donor,3,0.5,2.633590376310919,NA
8,0.5,donor,4,0.5,3.4395743368291165,NA
8,0.5,recipient,1,2.5,4.47045033929673,0
8,0.5,recipient,2,3.833333333333333,5.981616286243059,0.049
8,0.5,recipient,3,3.1666666666666665,5.30922270203578,0.052000000000000005
8,0.5,recipient,4,3.5,5.911752004935225,0.9159999999999999
8,0.8,donor,1,0.5,3.417735965453423,NA
8,0.8,donor,2,0.5,3.4537322640345454,NA
8,0.8,recipient,1,2.5,5.034207279457124,0.025
8,0.8,recipient,2,2.5,5.18689080814312,0.021
8,0.2,donor,1,0.5,3.158328192473782,NA
8,0.2,donor,2,0.5,3.5819864281307825,NA
8,0.2,recipient,1,4.5,6.428223318938925,0.457
8,0.2,recipient,2,2.5,5.740314620604564,0.306
9,1,donor,1,0.5,2.9724113968033357,0
9,1,donor,2,0.5,5.6302640722724115,0
9,1,donor,3,0.5,5.8981236970118145,0
9,1,donor,4,0.5,5.746421125781794,0
9,1,recipient,1,2.5,5.577206393328701,0
9,1,recipient,2,3.1666666666666665,6.024878387769284,0
9,1,recipient,3,2.833333333333333,5.664211257817929,0
9,1,recipient,4,1.1666666666666665,4.645656706045865,0
9,0,donor,1,0.5,5.534885337039611,1
9,0,donor,2,0.5,5.429847116052815,1
9,0,donor,3,0.5,5.864141765114663,1
9,0,donor,4,0.5,4.878769979152189,1
9,0,recipient,1,4.166666666666666,6.2642460041695625,1
9,0,recipient,2,0.5,0.6030576789437126,0
9,0,recipient,3,4.833333333333333,6.422585128561502,1
9,0,recipient,4,0.5,NA,0
9,0.5,donor,1,0.5,2.4459901295496596,NA
9,0.5,donor,2,0.5,2.167149907464528,NA
9,0.5,donor,3,0.5,2.0006477483035163,NA
9,0.5,donor,4,0.5,2.3099012954966054,NA
9,0.5,recipient,1,2.833333333333333,6.165237507711288,0.013999999999999999
9,0.5,recipient,2,0.5,5.40111042566317,0.085
9,0.5,recipient,3,2.5,5.657248611967921,0.264
9,0.5,recipient,4,3.833333333333333,6.2497532387415164,0.907
9,0.8,donor,1,0.5,2.3660703269586674,NA
9,0.8,donor,2,0.5,2.552251696483652,NA
9,0.8,recipient,1,0.5,3.311782850092534,NA
9,0.8,recipient,2,1.5,4.701696483652065,0.024
9,0.2,donor,1,0.5,2.6656693399136335,NA
9,0.2,donor,2,0.5,1.9574953732264022,NA
9,0.2,recipient,1,2.5,4.9838371375694015,0.43700000000000006
9,0.2,recipient,2,0.5,4.540160394818013,0.19899999999999998
10,1,donor,1,0.5,3.134503127171647,0
10,1,donor,2,0.5,5.601945795691453,0
10,1,donor,3,0.5,5.869318971507993,0
10,1,donor,4,0.5,5.6724461431549695,0
10,1,recipient,1,3.1666666666666665,6.007366226546213,0
10,1,recipient,2,3.1666666666666665,6.217894371091036,0
10,1,recipient,3,3.1666666666666665,6.078109798471162,0
10,1,recipient,4,0.8333333333333333,4.412265462126477,0
10,0,donor,1,0.5,5.58870743571925,1
10,0,donor,2,0.5,5.721334259902711,0
10,0,donor,3,0.5,4.940792216817235,1
10,0,donor,4,NA,NA,NA
10,0,recipient,1,3.5,5.3821751216122315,1
10,0,recipient,2,0.5,4.433356497567757,0
10,0,recipient,3,3.1666666666666665,5.772272411396803,1
10,0,recipient,4,0.5,0.4133425990271017,0
10,0.5,donor,1,0.5,2.2290869833436133,NA
10,0.5,donor,2,0.5,2.0136952498457736,NA
10,0.5,donor,3,0.5,1.3617828500925342,NA
10,0.5,donor,4,0.5,1.5594077729796416,NA
10,0.5,recipient,1,0.5,3.685533621221467,NA
10,0.5,recipient,2,0.5,4.495650832819246,0.087
10,0.5,recipient,3,0.5,4.104966070326958,0.142
10,0.5,recipient,4,0.5,4.470203578038247,0.956
10,0.8,donor,1,0.5,1.7731338679827267,NA
10,0.8,donor,2,0.5,1.3963602714373824,NA
10,0.8,recipient,1,0.5,1.8609500308451554,NA
10,0.8,recipient,2,0.5,4.506107341147438,0.023
10,0.2,donor,1,0.5,1.9739049969154843,NA
10,0.2,donor,2,0.5,2.5322331893892653,NA
10,0.2,recipient,1,0.5,4.012862430598394,0.61
10,0.2,recipient,2,0.5,4.242381246144355,0.172
11,1,donor,1,0.5,2.1768241834607367,0
11,1,donor,2,0.5,5.742807505211953,0
11,1,donor,3,0.5,4.335267546907574,NA
11,1,donor,4,0.5,5.788047255038221,0
11,1,recipient,1,1.1666666666666665,5.413551077136901,0
11,1,recipient,2,0.5,4.351563585823489,0
11,1,recipient,3,0.8333333333333333,4.277241139680334,NA
11,1,recipient,4,0.8333333333333333,4.233009034051425,NA
11,0,donor,1,0.5,5.488394718554551,0
11,0,donor,2,0.5,3.333078526754691,NA
11,0,donor,3,0.5,3.3447185545517724,NA
11,0,donor,4,NA,NA,NA
11,0,recipient,1,2.833333333333333,5.090027797081307,0
11,0,recipient,2,NA,NA,NA
11,0,recipient,3,3.833333333333333,5.778665740097289,1
11,0,recipient,4,0.5,0.17161223071577608,0
11,0.5,donor,1,0.5,2.5936458975940777,NA
11,0.5,donor,2,0.5,0,NA
11,0.5,donor,3,0.5,2.2740592227020344,NA
11,0.5,donor,4,0.5,0,NA
11,0.5,recipient,1,0.5,1.670882171499073,NA
11,0.5,recipient,2,0.5,2.5087908698334354,NA
11,0.5,recipient,3,0.5,2.1818322023442307,NA
11,0.5,recipient,4,0.5,4.463726095003083,0.956
11,0.8,donor,1,0.5,2.2037939543491674,NA
11,0.8,donor,2,0.5,1.3617211597779137,NA
11,0.8,recipient,1,0.5,1.6740900678593458,NA
11,0.8,recipient,2,0.5,1.3997532387415166,NA
11,0.2,donor,1,0.5,2.141671807526216,NA
11,0.2,donor,2,0.5,0,NA
11,0.2,recipient,1,0.5,4.943615052436766,0
11,0.2,recipient,2,0.5,2.80876002467612,NA
